,response,zh_label,empathy_score,annotator1_score,annotator2_score,annotator3_score,,
"Okay, and then what about how you want to behave. Are there any urges right now to try and control someone in your life?",好的，然後你想要如何表現。現在是否有任何衝動試圖控制你生活中的某個人？,1,1,1,0,1,,
Would you say that you always blame and accuse yourself whenever something goes wrong?,你會說一出事就總是責備自己嗎？,1,1,1,1,1,,
"Have you tried to take a closer look at others' points of view, whenever these have been presented to you?",每當有人向你介紹這些觀點時，你是否嘗試過仔細觀察他人的觀點？,0,0,0,0,1,,
"It's great to herar that you feel this way. I have a protocol that might enhance this positive feeling, would you like to try it?",很高興聽到你有這種感覺。我有一個練習可以增強這種積極的感覺，你想試試嗎？,2,2,2,2,2,,
"Is this something that happened recently, or something from the past that's still on your mind?",這是最近發生的事情，還是仍然在你腦海中的過去的事情？,1,1,1,0,1,,
I'm so sorry. Please tell me how you're actually feeling.,我很抱歉。請告訴我你的真實感受。,1,1,1,1,2,,
"Thank you, I appreciate you sharing with me, I know this can be difficult. I'd like to ask a few more questions to get to know your situation better.",謝謝，感謝你與我分享，我知道這可能很困難。我想再問幾個問題，以更好地了解你的情況。,2,2,2,2,2,,
I'm sorry to hear that. Could it be because of a certain event?,我很遺憾聽到這個消息。會不會是因為某個事件？,1,1,2,1,1,,
"Do you ever think about others' points of view, and have you taken the time to explore them?",你有沒有想過別人的觀點，你有沒有花時間去探索它們？,0,0,0,0,1,,
"I hear how you are feeling. In order to support you, can you tell me if there is one specific event that has caused how you are feeling?",我聽聽你的感受。為了支持你，你能告訴我是否有一個特定的事件導致了你的感受嗎？,2,2,2,2,2,,
"Everyone deals with so many emotions throughout the day, and not all of them are positive. I want to ask you if you have recently felt any of these emotions in particular:",每個人一整天都在處理很多情緒，並不是所有的情緒都是積極的。我想問一下你最近是否特別感受到了這些情緒：,2,2,2,1,2,,
"Thank you for sharing this. Could you tell me if you see yourself as the victim, blaming someone else for how negative you feel?",感謝你分享這一點。你能告訴我你是否把自己視為受害者，把你的消極情緒歸咎於別人？,2,2,2,2,2,,
"I have a protocol for you which I think you will like, if you're interested.",如果你有興趣，我想你會喜歡的練習。,0,0,0,1,0,,
"Could it be that, sometimes, you attribute to others the responsibility for mistakes you make, or tend to shrug off guilt?",是不是有時，你將自己犯的錯誤歸咎於他人，或者傾向於擺脫內疚？,2,2,2,1,2,,
Thank you for your responses so far. I'm going to ask you a few more questions if you do not mind.,感謝你到目前為止的回复。如果你不介意，我會再問你幾個問題。,1,1,1,1,2,,
Are other people to blame for you feeling sad?,是不是因為你感到難過而責備其他人？,0,0,1,0,0,,
"Ok, thank you, let's see if we can get to the bottom of this. How about we go through a few questions and look into some approaches that might help you feel better.",好的，謝謝你，讓我們看看能不能把這件事弄清楚。我們如何回答幾個問題並研究一些可能會幫助你感覺更好的方法。,1,1,1,1,2,,
"Thank you for your openness. Judging by your response, I think that you're feeling {}, would I be correct in saying that?",謝謝你的開放。從你的回答來看，我認為你感覺{}，我這樣說對嗎？,2,2,2,1,2,,
"Did you try using Protocol 11, and if so, did this spark difficult emotions because of past events?",你是否嘗試過使用練習 11，如果是，這是否會因為過去的事件而引發困難的情緒？,1,1,1,1,1,,
Do you feel like you are going through a personal crisis due to issues in the relationship with someone close to you?,由於與親近的人的關係出現問題，你是否覺得自己正在經歷個人危機？,1,1,2,1,1,,
"I think you picked a good one, please give it your best shot. Just hit 'continue' when you finish and we can pick up from where we left off.",我覺得你選的不錯，請盡你所能。完成後點擊“繼續”，我們可以從上次中斷的地方繼續。,1,1,2,0,1,,
Are you feeling or thinking anything that is giving you the urge to save someone else?,你是否感覺到或在想任何讓你有拯救別人的衝動的事情？,1,1,1,0,1,,
"Knowing that your feelings are important to me, I need to ask you about your previous interactions with the protocols. Have you attempted Protocol 11 anytime recently, and if so did it spark difficult emotions for you remembering these events?",知道你的感受對我很重要，我需要詢問你之前與練習的互動。你最近有沒有嘗試過練習 11，如果有的話，它是否會為你回憶起這些事件而引發困難的情緒？,2,2,2,2,2,,
"Thinking of recent and not-so-recent events, do you get the impression that you would like to save someone else?",想想最近和最近發生的事件，你有沒有想要拯救別人的印象？,1,1,1,1,2,,
"I am wondering, have you tried to listen carefully and consider other viewpoints put forward by those that you love?",我想知道，你是否嘗試過仔細聆聽並考慮你所愛的人提出的其他觀點？,1,1,2,1,1,,
"Could it be, perhaps, that you are avoiding responsibility for your actions and just blaming someone else for your feelings right now?",也許，你正在逃避對你的行為負責，只是為了你的感受而責備別人？,2,2,2,1,2,,
Good! I've got some protocol suggestions that will hopefully maintain your good mood.,好的！我有一些練習建議，希望能保持你的好心情。,1,1,2,1,1,,
You must be hurting right now. Could you share whether this event was recent or longer ago?,你現在一定很痛。你能分享一下這個事件是最近的還是很久以前的？,2,2,2,2,2,,
"Is there any chance you might be forcing someone else, perhaps someone you care about, into behaving in a way that you want?",你是否有可能強迫其他人，也許是你關心的人，以你想要的方式行事？,2,2,2,1,2,,
I understand that feelings of anxiety can be terrible. Is there something in particular that is making you feel this way?,我知道焦慮的感覺可能很可怕。有沒有什麼特別的東西讓你有這種感覺？,2,2,2,2,2,,
Please try to look deeply into your relationships with others before answering the next question. Are you having any thoughts that you could be controlling someone else or trying to control them?,在回答下一個問題之前，請嘗試深入了解你與他人的關係。你有任何想法，你可以控制別人或試圖控制他們？,2,2,2,1,2,,
Do you feel better now after following the protocol?,遵循練習後，你現在感覺好些了嗎？,0,0,0,0,0,,
"I see, I am sorry to hear that. Do you feel like a different protocol might help?",我明白了，我很遺憾聽到這個消息。你覺得不同的練習可能會有所幫助嗎？,2,2,1,2,2,,
I'm sorry to hear that. Is there anything in particular that made you feel like this?,我很遺憾聽到這個消息。有沒有什麼特別讓你有這種感覺？,2,2,1,2,2,,
"Ok, I see. Have you felt pressured by someone else in your life, or victimised in any way?",好的我明白了。你是否感到生活中其他人的壓力，或以任何方式受害？,1,1,1,0,1,,
"Do you think you may need to control someone, make them do or say what you want, in order to be less angry?",你是否認為你可能需要控制某人，讓他們做或說你想要的，以減少憤怒？,0,0,1,0,0,,
Do you feel that someone has done something to harm you in any way?,你是否覺得有人以任何方式傷害了你？,1,1,1,1,0,,
Would you say that you were able to really consider other viewpoints when they arose in previous conversations?,你會說當其他觀點出現在之前的談話中時，你能夠真正考慮到其他觀點嗎？,0,0,0,1,0,,
Thanks for answering that. Do you feel you are always blaming and accusing yourself when things haven't gone your way?,謝謝你回答。當事情沒有如你所願時，你是否覺得你總是在責備和指責自己？,2,2,1,2,2,,
